acc,accuracy,average_response_time,avg_rt,background,bidi,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_number_input_1,correct_study_response,count_end,count_experiment,count_famrecall,count_get_input_loop_1,count_get_input_sequence_1,count_init_1,count_neptun_textinput,count_number_input_1,count_osweb,count_prestudy,count_prestudy_isi,count_prestudy_sequence,count_prestudy_stimpres,count_process_input_1,count_recall,count_recallcounter,count_recalltest_start,count_show_input_1,count_start,count_study,count_study_getresptime,count_study_isi,count_study_logger,count_study_response,count_study_sequence,count_study_start,count_study_stimp2,count_study_stimpres,count_test,count_test_start,count_textinp_1,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,empty_column,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,fampict,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,multichar_knowresp,opensesame_codename,opensesame_version,p2dur,penwidth,repeat_cycle,response,response_number_input_1,response_start,response_study_response,response_study_start,response_time,response_time_number_input_1,response_time_start,response_time_study_response,response_time_study_start,round_decimals,rtnr,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim,subject_nr,subject_parity,system_os,time_famrecall,time_get_input_loop_1,time_init_1,time_number_input_1,time_prestudy,time_prestudy_isi,time_prestudy_stimpres,time_process_input_1,time_show_input_1,time_start,time_study,time_study_getresptime,time_study_isi,time_study_logger,time_study_response,time_study_start,time_study_stimp2,time_study_stimpres,time_test,time_textinp_1,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
,,,,,,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-09-23,25-09-23,11:03:52,,,,,0,0,,0,0,0,,,,,,,,,,,2240,3.5.8,,,m55dj9,,,,,,,,,,,,,,,,,,,900,1600,24,900,24,0,0,1600,,,,,,,,,,Win32,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1032,1032,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,0,1,0,None,enter,k,None,l,3005,810,15228,3005,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,p2sarrshacol2.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,144297,144300,145814,141292,112547,144299,141292,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,9287,9,yes,1366
0,0,1230,1230,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,1,1,1,1,1,0,1,1,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,0,1,0,None,enter,k,None,l,3009,810,15228,3009,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,p1sarrsha2.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,148864,148867,150381,145854,112547,148867,145854,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,12296,10,yes,1366
0,0,1392,1392,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,2,2,2,2,2,0,2,2,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,0,1,0,None,enter,k,None,l,3017,810,15228,3017,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,p4sarrsha2.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,153414,153417,154931,150397,112547,153416,150396,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,15313,11,yes,1366
0,0,1463,1463,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,3,3,3,3,3,0,3,3,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,757,1,0,right,enter,k,right,l,2243,810,15228,2243,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,p2sarrcol1.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,157198,157965,159481,154945,112547,157201,154945,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,17556,12,yes,1366
0,0,1495,1495,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,4,4,4,4,4,0,4,4,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,1119,1,0,right,enter,k,right,l,1881,810,15228,1881,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,p9sarr2.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,161398,162532,164049,159502,112547,161400,159502,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,19437,13,yes,1366
0,0,1488,1488,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,5,5,5,5,5,0,5,5,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,1599,1,0,right,enter,k,right,l,1401,810,15228,1401,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,p1sarr2.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,165466,167083,168599,164063,112547,165468,164063,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,20838,14,yes,1366
0,0,1546,1546,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,6,6,6,6,6,0,6,6,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,654,1,0,right,enter,k,right,l,2346,810,15228,2346,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,p3sarrsha2.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,170966,171633,173150,168613,112547,170969,168613,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,23184,15,yes,1366
0,0,1543,1543,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,7,7,7,7,7,0,7,7,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,1491,1,0,left,enter,k,left,l,1509,810,15228,1509,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,prototype3.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,174683,176184,177700,173165,112547,174685,173164,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,24693,16,yes,1366
0,0,1502,1502,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,7,0,0,7,0,0,19,19,19,7,0,0,0,7,0,0,8,8,8,8,8,0,8,8,0,0,0,25-09-23,25-09-23,11:03:52,Wed Oct 25 2023 11:03:52 GMT+0200 (közép-európai nyári idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype4.png,no,mono,no,18,no,black,no,no,768,2240,3.5.8,legacy,xpyriment,m55dj9,osweb,1.4.0,2161,1,0,right,enter,k,right,l,839,810,15228,839,28687,2,0,legacy,900,1600,24,900,24,0,0,1600,1698224662963,1024,2,48000,-16,experiment,p7sarr1.png,1,odd,Win32,179,179,147,5794,179,111028,108013,6615,5794,6617,179,178567,180734,182250,177714,112547,178569,177714,179,6616,GNET_4stim_recallt_idinput_artn_-_STUDY,0,25532,17,yes,1366
