"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17-10-23","13:30:52","nkmjus",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,NA,"","","study"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,0,NA,"17-10-23","13:30:52","nkmjus",0,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"None","",3008,NA,0,1700224293955,"p3sarrsha2.png","sarrsha","study"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,1,NA,"17-10-23","13:30:52","nkmjus",17,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",2983,NA,0,1700224293955,"p4sarrsha1.png","sarrsha","study"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,2,NA,"17-10-23","13:30:52","nkmjus",2383,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",617,NA,0,1700224293955,"prototype4.png","prototype","study"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,3,NA,"17-10-23","13:30:52","nkmjus",1828,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1172,NA,0,1700224293955,"p7sarr1.png","diffarr","study"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,4,NA,"17-10-23","13:30:52","nkmjus",1426,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1574,NA,0,1700224293955,"prototype2.png","prototype","study"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,5,NA,"17-10-23","13:30:52","nkmjus",1296,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1704,NA,0,1700224293955,"p2sarr1.png","sarr","study"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,6,NA,"17-10-23","13:30:52","nkmjus",1494,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1506,NA,0,1700224293955,"p1sarrcol2.png","sarrcol","study"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,7,NA,"17-10-23","13:30:52","nkmjus",2025,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",975,NA,0,1700224293955,"p8sarr2.png","diffarr","study"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,8,NA,"17-10-23","13:30:52","nkmjus",1763,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1237,NA,0,1700224293955,"p4sarrcol1.png","sarrcol","study"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,9,NA,"17-10-23","13:30:52","nkmjus",1865,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1135,NA,0,1700224293955,"p1sarr2.png","sarr","study"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,10,NA,"17-10-23","13:30:52","nkmjus",2005,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",995,NA,0,1700224293955,"p2sarrsha1.png","sarrsha","study"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,11,NA,"17-10-23","13:30:52","nkmjus",1795,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1205,NA,0,1700224293955,"p3sarrshacol2.png","sarrshacol","study"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,12,NA,"17-10-23","13:30:52","nkmjus",2051,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",949,NA,0,1700224293955,"prototype3.png","prototype","study"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,13,NA,"17-10-23","13:30:52","nkmjus",1277,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1723,NA,0,1700224293955,"p8sarr1.png","diffarr","study"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,14,NA,"17-10-23","13:30:52","nkmjus",2120,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",880,NA,0,1700224293955,"prototype1.png","prototype","study"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,15,NA,"17-10-23","13:30:52","nkmjus",1514,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1486,NA,0,1700224293955,"p2sarrshacol2.png","sarrshacol","study"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,16,NA,"17-10-23","13:30:52","nkmjus",2097,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",903,NA,0,1700224293955,"prototype2.png","prototype","study"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,17,NA,"17-10-23","13:30:52","nkmjus",1794,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1206,NA,0,1700224293955,"p2sarrcol2.png","sarrcol","study"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,18,NA,"17-10-23","13:30:52","nkmjus",2105,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",895,NA,0,1700224293955,"p1sarrshacol2.png","sarrshacol","study"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,19,NA,"17-10-23","13:30:52","nkmjus",1709,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1291,NA,0,1700224293955,"prototype3.png","prototype","study"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,20,NA,"17-10-23","13:30:52","nkmjus",1474,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1526,NA,0,1700224293955,"p2sarrcol1.png","sarrcol","study"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,21,NA,"17-10-23","13:30:52","nkmjus",1925,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1075,NA,0,1700224293955,"p2sarr2.png","sarr","study"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,22,NA,"17-10-23","13:30:52","nkmjus",1828,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1172,NA,0,1700224293955,"p1sarrcol1.png","sarrcol","study"
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,23,NA,"17-10-23","13:30:52","nkmjus",1153,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1847,NA,0,1700224293955,"p3sarr1.png","sarr","study"
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,24,NA,"17-10-23","13:30:52","nkmjus",1763,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1237,NA,0,1700224293955,"p9sarr2.png","diffarr","study"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,25,NA,"17-10-23","13:30:52","nkmjus",1887,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1113,NA,0,1700224293955,"prototype3.png","prototype","study"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,26,NA,"17-10-23","13:30:52","nkmjus",2159,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",841,NA,0,1700224293955,"p7sarr2.png","diffarr","study"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,27,NA,"17-10-23","13:30:52","nkmjus",2294,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",706,NA,0,1700224293955,"p1sarrsha1.png","sarrsha","study"
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,28,NA,"17-10-23","13:30:52","nkmjus",2241,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",759,NA,0,1700224293955,"prototype2.png","prototype","study"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,29,NA,"17-10-23","13:30:52","nkmjus",1797,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1203,NA,0,1700224293955,"prototype1.png","prototype","study"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,30,NA,"17-10-23","13:30:52","nkmjus",2188,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",812,NA,0,1700224293955,"p3sarrcol1.png","sarrcol","study"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,31,NA,"17-10-23","13:30:52","nkmjus",588,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",2412,NA,0,1700224293955,"p4sarr2.png","sarr","study"
