"","id","type","NoneRespOld","MaybeRespOld","OldRespOld","NewRespOld","NoneRespNew","MaybeRespNew","OldRespNew","NewRespNew"
"1","adnh1w","diffarr",0,2,1,5,0,1,0,7
"2","adnh1w","sarr",0,3,1,4,0,2,0,6
"3","adnh1w","sarrcol",0,1,3,4,0,2,1,5
"4","adnh1w","sarrsha",0,1,2,5,0,2,1,5
"5","adnh1w","sarrshacol",0,1,2,5,0,0,4,4
"6","bkbcql","diffarr",0,0,4,4,0,0,2,6
"7","bkbcql","sarr",1,1,1,5,0,0,3,5
"8","bkbcql","sarrcol",0,0,6,2,0,0,6,2
"9","bkbcql","sarrsha",0,0,2,6,3,0,2,3
"10","bkbcql","sarrshacol",0,0,6,2,1,0,4,3
"11","bkxldo","diffarr",1,2,1,4,1,2,3,2
"12","bkxldo","sarr",0,2,3,3,2,0,3,3
"13","bkxldo","sarrcol",0,1,3,4,2,0,5,1
"14","bkxldo","sarrsha",2,1,2,3,0,3,3,2
"15","bkxldo","sarrshacol",2,0,4,2,0,2,4,2
"16","c8zr6u","diffarr",0,0,1,7,0,0,1,7
"17","c8zr6u","sarr",0,0,1,7,1,0,0,7
"18","c8zr6u","sarrcol",2,0,5,1,0,0,3,5
"19","c8zr6u","sarrsha",2,0,1,5,2,0,4,2
"20","c8zr6u","sarrshacol",3,0,2,3,1,1,3,3
"21","cvyk5v","diffarr",0,1,3,4,0,0,0,8
"22","cvyk5v","sarr",0,1,3,4,1,2,0,5
"23","cvyk5v","sarrcol",0,2,3,3,0,1,2,5
"24","cvyk5v","sarrsha",1,1,3,3,1,0,5,2
"25","cvyk5v","sarrshacol",0,1,4,3,0,2,4,2
"26","cxy2tq","diffarr",1,1,1,5,1,0,2,5
"27","cxy2tq","sarr",0,3,1,4,0,4,3,1
"28","cxy2tq","sarrcol",0,1,5,2,0,2,5,1
"29","cxy2tq","sarrsha",0,3,2,3,0,4,3,1
"30","cxy2tq","sarrshacol",1,3,1,3,0,4,2,2
