"","count_famrecall","count_prestudy_sequence","count_study_response","date_startdate","date_starttime","multichar_knowresp","response_study_response","response_time_study_response","sessionid","stim","type"
"1",NA,NA,NA,"25-09-23","11:03:52","m55dj9","",NA,NA,"",""
"2",0,19,0,"25-09-23","11:03:52","m55dj9","None",3005,1698224662963,"p2sarrshacol2.png","sarrshacol"
"3",0,19,1,"25-09-23","11:03:52","m55dj9","None",3009,1698224662963,"p1sarrsha2.png","sarrsha"
"4",0,19,2,"25-09-23","11:03:52","m55dj9","None",3017,1698224662963,"p4sarrsha2.png","sarrsha"
"5",0,19,3,"25-09-23","11:03:52","m55dj9","right",2243,1698224662963,"p2sarrcol1.png","sarrcol"
"6",0,19,4,"25-09-23","11:03:52","m55dj9","right",1881,1698224662963,"p9sarr2.png","diffarr"
"7",0,19,5,"25-09-23","11:03:52","m55dj9","right",1401,1698224662963,"p1sarr2.png","sarr"
"8",0,19,6,"25-09-23","11:03:52","m55dj9","right",2346,1698224662963,"p3sarrsha2.png","sarrsha"
"9",0,19,7,"25-09-23","11:03:52","m55dj9","left",1509,1698224662963,"prototype3.png","prototype"
"10",0,19,8,"25-09-23","11:03:52","m55dj9","right",839,1698224662963,"p7sarr1.png","diffarr"
"11",0,19,9,"25-09-23","11:03:52","m55dj9","left",1357,1698224662963,"prototype3.png","prototype"
"12",0,19,10,"25-09-23","11:03:52","m55dj9","right",916,1698224662963,"p3sarrsha1.png","sarrsha"
"13",0,19,11,"25-09-23","11:03:52","m55dj9","right",1414,1698224662963,"p4sarrshacol1.png","sarrshacol"
"14",0,19,12,"25-09-23","11:03:52","m55dj9","right",1038,1698224662963,"p1sarrcol2.png","sarrcol"
"15",0,19,13,"25-09-23","11:03:52","m55dj9","right",1016,1698224662963,"p3sarr2.png","sarr"
"16",0,19,14,"25-09-23","11:03:52","m55dj9","right",995,1698224662963,"p8sarr1.png","diffarr"
"17",0,19,15,"25-09-23","11:03:52","m55dj9","left",1348,1698224662963,"p1sarr1.png","sarr"
"18",0,19,16,"25-09-23","11:03:52","m55dj9","right",1089,1698224662963,"p4sarr2.png","sarr"
"19",0,19,17,"25-09-23","11:03:52","m55dj9","left",1644,1698224662963,"prototype1.png","prototype"
"20",0,19,18,"25-09-23","11:03:52","m55dj9","left",1230,1698224662963,"prototype1.png","prototype"
"21",0,19,19,"25-09-23","11:03:52","m55dj9","right",1963,1698224662963,"p2sarrsha1.png","sarrsha"
"22",0,19,20,"25-09-23","11:03:52","m55dj9","left",1994,1698224662963,"prototype4.png","prototype"
"23",0,19,21,"25-09-23","11:03:52","m55dj9","right",1418,1698224662963,"p4sarrcol1.png","sarrcol"
"24",0,19,22,"25-09-23","11:03:52","m55dj9","left",1519,1698224662963,"prototype2.png","prototype"
"25",0,19,23,"25-09-23","11:03:52","m55dj9","right",991,1698224662963,"p3sarrcol2.png","sarrcol"
"26",0,19,24,"25-09-23","11:03:52","m55dj9","left",1054,1698224662963,"prototype2.png","prototype"
"27",0,19,25,"25-09-23","11:03:52","m55dj9","right",1210,1698224662963,"p7sarr2.png","diffarr"
"28",0,19,26,"25-09-23","11:03:52","m55dj9","right",751,1698224662963,"p6sarr2.png","diffarr"
"29",0,19,27,"25-09-23","11:03:52","m55dj9","right",1412,1698224662963,"p1sarrshacol1.png","sarrshacol"
"30",0,19,28,"25-09-23","11:03:52","m55dj9","right",1237,1698224662963,"p3sarrshacol2.png","sarrshacol"
"31",0,19,29,"25-09-23","11:03:52","m55dj9","right",1216,1698224662963,"p2sarrshacol1.png","sarrshacol"
