"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_test_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-09-23","13:09:44","m55dj9",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,"","","study"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"25-09-23","13:09:44","m55dj9",764,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",2236,0,1698232244363,"p2sarrshacol1.png","sarrshacol","old"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"25-09-23","13:09:44","m55dj9",1135,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",1865,0,1698232244363,"p4sarr4.png","sarr","new"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"25-09-23","13:09:44","m55dj9",317,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"down",2683,0,1698232244363,"p7sarr2.png","diffarr","old"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"25-09-23","13:09:44","m55dj9",1145,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",1855,0,1698232244363,"p1sarrsha4.png","sarrsha","new"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"25-09-23","13:09:44","m55dj9",1506,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",1494,0,1698232244363,"p3sarrcol2.png","sarrcol","old"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"25-09-23","13:09:44","m55dj9",0,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"None",3017,0,1698232244363,"p3sarrcol3.png","sarrcol","new"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,"25-09-23","13:09:44","m55dj9",1056,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",1944,0,1698232244363,"p1sarrsha1.png","sarrsha","old"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,"25-09-23","13:09:44","m55dj9",878,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",2122,0,1698232244363,"p4sarr1.png","sarr","old"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,"25-09-23","13:09:44","m55dj9",725,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",2275,0,1698232244363,"p9sarr2.png","diffarr","old"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,"25-09-23","13:09:44","m55dj9",611,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",2389,0,1698232244363,"p1sarr2.png","sarr","old"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"25-09-23","13:09:44","m55dj9",858,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"down",2142,0,1698232244363,"p3sarrcol4.png","sarrcol","new"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,"25-09-23","13:09:44","m55dj9",178,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",2822,0,1698232244363,"p2sarrshacol2.png","sarrshacol","old"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,"25-09-23","13:09:44","m55dj9",1452,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",1548,0,1698232244363,"p6sarr1.png","diffarr","old"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,"25-09-23","13:09:44","m55dj9",1446,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"down",1554,0,1698232244363,"p4sarrshacol3.png","sarrshacol","new"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,"25-09-23","13:09:44","m55dj9",466,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",2534,0,1698232244363,"p4sarrshacol4.png","sarrshacol","new"
