"","id","type","NoneRespOld","MaybeRespOld","OldRespOld","NewRespOld","NoneRespNew","MaybeRespNew","OldRespNew","NewRespNew"
"1","anoqkb","diffarr",0,1,1,6,0,4,0,4
"2","anoqkb","sarr",0,5,1,2,0,3,0,5
"3","anoqkb","sarrcol",0,1,5,2,0,3,4,1
"4","anoqkb","sarrsha",1,3,2,2,1,1,6,0
"5","anoqkb","sarrshacol",0,3,4,1,0,3,5,0
"6","begobm","diffarr",0,1,2,5,0,1,0,7
"7","begobm","sarr",0,3,1,4,0,0,0,8
"8","begobm","sarrcol",0,1,4,3,0,0,4,4
"9","begobm","sarrsha",0,4,0,4,0,4,1,3
"10","begobm","sarrshacol",1,1,3,3,0,1,1,6
"11","bkxldo","diffarr",0,2,2,4,0,2,2,4
"12","bkxldo","sarr",1,2,3,2,0,1,0,7
"13","bkxldo","sarrcol",0,2,1,5,0,1,4,3
"14","bkxldo","sarrsha",0,2,5,1,0,1,5,2
"15","bkxldo","sarrshacol",0,1,3,4,0,1,6,1
"16","bx1812","diffarr",1,1,1,5,0,2,1,5
"17","bx1812","sarr",0,1,3,4,1,2,2,3
"18","bx1812","sarrcol",2,0,2,4,2,2,2,2
"19","bx1812","sarrsha",2,0,2,4,1,4,2,1
"20","bx1812","sarrshacol",2,1,2,3,1,3,3,1
"21","bxa3vr","diffarr",1,1,2,4,1,0,2,5
"22","bxa3vr","sarr",0,1,3,4,0,0,0,8
"23","bxa3vr","sarrcol",0,0,3,5,1,0,2,5
"24","bxa3vr","sarrsha",0,1,5,2,0,0,7,1
"25","bxa3vr","sarrshacol",0,0,7,1,1,1,4,2
"26","c8mul9","diffarr",0,0,3,5,1,0,2,5
"27","c8mul9","sarr",1,1,2,4,0,0,0,8
"28","c8mul9","sarrcol",0,0,2,6,1,1,2,4
"29","c8mul9","sarrsha",1,0,4,3,1,1,3,3
"30","c8mul9","sarrshacol",1,0,4,3,0,0,5,3
"31","cqw3ui","diffarr",1,1,2,4,0,2,0,6
"32","cqw3ui","sarr",0,3,1,4,0,2,1,5
"33","cqw3ui","sarrcol",0,2,2,4,0,3,2,3
"34","cqw3ui","sarrsha",0,3,3,2,1,3,2,2
"35","cqw3ui","sarrshacol",1,1,5,1,0,1,4,3
"36","epidxr","diffarr",0,0,1,7,0,0,0,8
"37","epidxr","sarr",0,0,3,5,0,0,2,6
"38","epidxr","sarrcol",0,0,1,7,0,0,3,5
"39","epidxr","sarrsha",0,0,3,5,1,0,4,3
"40","epidxr","sarrshacol",1,1,4,2,0,0,6,2
"41","f3pz0b","diffarr",0,1,3,4,0,2,2,4
"42","f3pz0b","sarr",0,0,6,2,0,1,4,3
"43","f3pz0b","sarrcol",0,1,6,1,0,0,5,3
"44","f3pz0b","sarrsha",0,4,4,0,0,3,4,1
"45","f3pz0b","sarrshacol",3,1,2,2,0,0,5,3
"46","fhw7nl","diffarr",0,3,1,4,1,1,2,4
"47","fhw7nl","sarr",1,2,3,2,1,1,3,3
"48","fhw7nl","sarrcol",0,1,4,3,0,2,1,5
