"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_test_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13-10-23","19:37:15","d8bq7g",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,"","","study"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"13-10-23","19:37:15","d8bq7g",937,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",2063,0,1699900693890,"p2sarrshacol1.png","sarrshacol","old"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"13-10-23","19:37:15","d8bq7g",1162,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",1838,0,1699900693890,"p4sarr4.png","sarr","new"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"13-10-23","19:37:15","d8bq7g",1719,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"down",1281,0,1699900693890,"p7sarr2.png","diffarr","old"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"13-10-23","19:37:15","d8bq7g",1438,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",1562,0,1699900693890,"p1sarrsha4.png","sarrsha","new"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"13-10-23","19:37:15","d8bq7g",787,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",2213,0,1699900693890,"p3sarrcol2.png","sarrcol","old"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"13-10-23","19:37:15","d8bq7g",858,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",2142,0,1699900693890,"p3sarrcol3.png","sarrcol","new"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,"13-10-23","19:37:15","d8bq7g",1951,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",1049,0,1699900693890,"p1sarrsha1.png","sarrsha","old"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,"13-10-23","19:37:15","d8bq7g",1029,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"down",1971,0,1699900693890,"p4sarr1.png","sarr","old"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,"13-10-23","19:37:15","d8bq7g",723,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",2277,0,1699900693890,"p9sarr2.png","diffarr","old"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,"13-10-23","19:37:15","d8bq7g",1325,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right",1675,0,1699900693890,"p1sarr2.png","sarr","old"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"13-10-23","19:37:15","d8bq7g",1454,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"down",1546,0,1699900693890,"p3sarrcol4.png","sarrcol","new"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,"13-10-23","19:37:15","d8bq7g",852,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left",2148,0,1699900693890,"p2sarrshacol2.png","sarrshacol","old"
