"","id","type","NoneRespOld","MaybeRespOld","OldRespOld","NewRespOld","NoneRespNew","MaybeRespNew","OldRespNew","NewRespNew"
"1","aa1f1w","diffarr",0,2,3,3,0,2,4,2
"2","aa1f1w","sarr",0,0,3,5,0,2,2,4
"3","aa1f1w","sarrcol",0,1,6,1,1,1,5,1
"4","aa1f1w","sarrsha",1,1,4,2,0,0,5,3
"5","aa1f1w","sarrshacol",1,1,3,3,0,1,4,3
"6","beec55","diffarr",0,5,0,3,0,3,0,5
"7","beec55","sarr",0,3,0,5,0,3,1,4
"8","beec55","sarrcol",0,5,1,2,0,4,3,1
"9","beec55","sarrsha",0,2,2,4,0,3,3,2
"10","beec55","sarrshacol",1,1,2,4,0,2,5,1
"11","bxvm38","diffarr",0,1,0,7,0,2,0,6
"12","bxvm38","sarr",0,2,2,4,0,0,1,7
"13","bxvm38","sarrcol",0,1,3,4,2,1,1,4
"14","bxvm38","sarrsha",1,2,2,3,1,0,4,3
"15","bxvm38","sarrshacol",0,1,3,4,1,2,2,3
"16","cjqo14","diffarr",0,0,2,6,0,1,2,5
"17","cjqo14","sarr",0,1,3,4,0,1,2,5
"18","cjqo14","sarrcol",1,3,3,1,0,0,6,2
"19","cjqo14","sarrsha",0,0,3,5,0,1,4,3
"20","cjqo14","sarrshacol",1,0,3,4,0,2,2,4
"21","e7g7ue","diffarr",0,0,4,4,0,3,1,4
"22","e7g7ue","sarr",1,0,1,6,0,3,4,1
"23","e7g7ue","sarrcol",1,1,4,2,0,3,3,2
"24","e7g7ue","sarrsha",0,2,2,4,0,1,5,2
"25","e7g7ue","sarrshacol",1,0,4,3,0,2,3,3
"26","elkifd","diffarr",0,0,0,8,0,0,0,8
"27","elkifd","sarr",0,1,1,6,1,1,0,6
"28","elkifd","sarrcol",0,5,1,2,1,3,3,1
"29","elkifd","sarrsha",0,1,2,5,0,3,1,4
"30","elkifd","sarrshacol",0,1,2,5,0,3,3,2
"31","gi8zh7","diffarr",0,1,1,6,0,0,3,5
"32","gi8zh7","sarr",0,1,3,4,1,3,1,3
"33","gi8zh7","sarrcol",0,1,4,3,0,2,2,4
"34","gi8zh7","sarrsha",0,0,3,5,0,2,5,1
"35","gi8zh7","sarrshacol",0,1,3,4,1,0,4,3
"36","hny56t","diffarr",0,0,4,4,0,0,0,8
"37","hny56t","sarr",0,0,2,6,0,0,2,6
"38","hny56t","sarrcol",1,0,6,1,0,0,5,3
"39","hny56t","sarrsha",1,0,3,4,1,0,3,4
"40","hny56t","sarrshacol",2,0,1,5,0,0,2,6
"41","i1pr1z","diffarr",0,0,3,5,2,1,0,5
"42","i1pr1z","sarr",3,0,2,3,0,0,1,7
"43","i1pr1z","sarrcol",0,0,3,5,1,0,1,6
"44","i1pr1z","sarrsha",0,1,1,6,2,0,2,4
"45","i1pr1z","sarrshacol",2,0,4,2,0,0,3,5
"46","ja3idl","diffarr",1,0,2,5,3,0,1,4
