"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13-10-23","17:01:51","hsinls",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,NA,"","","study"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,0,NA,"13-10-23","17:01:51","hsinls",1513,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1487,NA,0,1699891334881,"p2sarrsha2.png","sarrsha","study"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,1,NA,"13-10-23","17:01:51","hsinls",2266,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",734,NA,0,1699891334881,"p2sarr2.png","sarr","study"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,2,NA,"13-10-23","17:01:51","hsinls",2312,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",688,NA,0,1699891334881,"p1sarrshacol1.png","sarrshacol","study"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,3,NA,"13-10-23","17:01:51","hsinls",0,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"None","",3006,NA,0,1699891334881,"p4sarr2.png","sarr","study"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,4,NA,"13-10-23","17:01:51","hsinls",1990,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1010,NA,0,1699891334881,"prototype3.png","prototype","study"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,5,NA,"13-10-23","17:01:51","hsinls",1971,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1029,NA,0,1699891334881,"prototype4.png","prototype","study"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,6,NA,"13-10-23","17:01:51","hsinls",1793,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1207,NA,0,1699891334881,"p3sarrcol1.png","sarrcol","study"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,7,NA,"13-10-23","17:01:51","hsinls",1822,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1178,NA,0,1699891334881,"p2sarrcol1.png","sarrcol","study"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,8,NA,"13-10-23","17:01:51","hsinls",1904,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1096,NA,0,1699891334881,"p8sarr1.png","diffarr","study"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,9,NA,"13-10-23","17:01:51","hsinls",2126,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",874,NA,0,1699891334881,"p4sarrshacol2.png","sarrshacol","study"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,10,NA,"13-10-23","17:01:51","hsinls",585,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",2415,NA,0,1699891334881,"p1sarrsha2.png","sarrsha","study"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,11,NA,"13-10-23","17:01:51","hsinls",1859,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1141,NA,0,1699891334881,"prototype3.png","prototype","study"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,12,NA,"13-10-23","17:01:51","hsinls",1883,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1117,NA,0,1699891334881,"p2sarrshacol2.png","sarrshacol","study"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,13,NA,"13-10-23","17:01:51","hsinls",2028,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",972,NA,0,1699891334881,"p7sarr2.png","diffarr","study"
