"","id","type","NoneRespOld","MaybeRespOld","OldRespOld","NewRespOld","NoneRespNew","MaybeRespNew","OldRespNew","NewRespNew"
"1","a74d3k","diffarr",0,1,5,2,0,4,2,2
"2","a74d3k","sarr",0,1,3,4,0,4,1,3
"3","a74d3k","sarrcol",0,1,4,3,1,2,3,2
"4","a74d3k","sarrsha",0,1,3,4,0,3,4,1
"5","a74d3k","sarrshacol",0,1,4,3,0,2,3,3
"6","bb93kz","diffarr",1,0,2,5,0,1,3,4
"7","bb93kz","sarr",0,1,1,6,0,1,2,5
"8","bb93kz","sarrcol",0,1,3,4,0,0,4,4
"9","bb93kz","sarrsha",0,2,5,1,0,0,4,4
"10","bb93kz","sarrshacol",0,0,8,0,0,0,7,1
"11","bnbq2z","diffarr",0,3,0,5,0,2,2,4
"12","bnbq2z","sarr",0,1,4,3,0,1,4,3
"13","bnbq2z","sarrcol",0,1,4,3,0,2,3,3
"14","bnbq2z","sarrsha",0,1,5,2,0,2,5,1
"15","bnbq2z","sarrshacol",0,0,4,4,0,2,5,1
"16","bto5xt","diffarr",0,0,3,5,0,1,1,6
"17","bto5xt","sarr",0,0,4,4,0,1,2,5
"18","bto5xt","sarrcol",0,0,5,3,0,1,3,4
"19","bto5xt","sarrsha",0,1,5,2,0,1,6,1
"20","bto5xt","sarrshacol",0,0,6,2,0,2,5,1
"21","butw5y","diffarr",0,2,2,4,1,1,0,6
"22","butw5y","sarr",1,2,3,2,1,3,2,2
"23","butw5y","sarrcol",0,2,5,1,1,3,2,2
"24","butw5y","sarrsha",0,2,3,3,0,4,3,1
"25","butw5y","sarrshacol",1,3,2,2,0,4,3,1
"26","byp0c8","diffarr",0,1,1,6,0,3,2,3
"27","byp0c8","sarr",0,3,1,4,0,4,1,3
"28","byp0c8","sarrcol",0,1,2,5,0,2,1,5
"29","byp0c8","sarrsha",0,5,2,1,1,4,2,1
"30","byp0c8","sarrshacol",1,3,3,1,1,2,3,2
"31","c2oyi6","diffarr",0,0,3,5,0,2,2,4
"32","c2oyi6","sarr",0,1,2,5,0,1,0,7
"33","c2oyi6","sarrcol",0,1,1,6,0,1,3,4
"34","c2oyi6","sarrsha",0,4,2,2,0,2,5,1
"35","c2oyi6","sarrshacol",1,0,4,3,0,0,6,2
"36","c5nh2b","diffarr",0,1,2,5,1,0,0,7
"37","c5nh2b","sarr",0,4,0,4,0,2,0,6
"38","c5nh2b","sarrcol",0,1,4,3,0,4,1,3
"39","c5nh2b","sarrsha",0,5,2,1,1,3,1,3
"40","c5nh2b","sarrshacol",1,2,2,3,0,5,2,1
"41","d0d5vp","diffarr",1,2,1,4,0,3,2,3
"42","d0d5vp","sarr",0,4,0,4,1,0,1,6
"43","d0d5vp","sarrcol",0,1,2,5,0,1,1,6
"44","d0d5vp","sarrsha",1,0,3,4,1,0,5,2
"45","d0d5vp","sarrshacol",1,1,2,4,1,2,2,3
"46","ewdsfr","diffarr",1,2,2,3,1,1,1,5
"47","ewdsfr","sarr",0,2,3,3,1,3,3,1
"48","ewdsfr","sarrcol",0,2,3,3,1,2,1,4
"49","ewdsfr","sarrsha",0,5,1,2,0,4,2,2
"50","ewdsfr","sarrshacol",0,2,4,2,0,3,3,2
"51","fvw6d3","diffarr",0,0,3,5,0,1,0,7
"52","fvw6d3","sarr",0,0,0,8,0,0,0,8
"53","fvw6d3","sarrcol",0,0,1,7,0,1,0,7
"54","fvw6d3","sarrsha",0,0,1,7,0,4,1,3
"55","fvw6d3","sarrshacol",2,0,3,3,0,0,1,7
"56","gesw69","diffarr",0,1,2,5,0,0,0,8
"57","gesw69","sarr",0,1,1,6,0,2,0,6
"58","gesw69","sarrcol",0,1,2,5,0,2,0,6
"59","gesw69","sarrsha",0,1,0,7,0,3,0,5
"60","gesw69","sarrshacol",1,0,0,7,1,0,1,6
"61","inhod3","diffarr",1,1,2,4,0,1,0,7
"62","inhod3","sarr",1,1,2,4,0,1,3,4
"63","inhod3","sarrcol",0,0,3,5,0,2,2,4
"64","inhod3","sarrsha",0,0,4,4,1,2,3,2
"65","inhod3","sarrshacol",0,4,2,2,0,1,3,4
"66","iqhdm0","diffarr",0,2,3,3,0,1,1,6
"67","iqhdm0","sarr",0,2,1,5,0,3,0,5
"68","iqhdm0","sarrcol",1,0,3,4,0,3,0,5
"69","iqhdm0","sarrsha",0,5,2,1,0,3,3,2
"70","iqhdm0","sarrshacol",1,4,2,1,0,1,5,2
"71","jl0uq8","diffarr",0,1,4,3,0,0,1,7
