X.1,X,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cells_sum,count_famrecall,count_prestudy_sequence,count_study_response,count_test_response,date_startdate,date_starttime,multichar_knowresp,rtnr,p2dur,plc1,plc1c,plc1s,plc1sh,plc1x,plc1y,plc2,plc2c,plc2s,plc2sh,plc2x,plc2y,plc3,plc3c,plc3s,plc3sh,plc3x,plc3y,plc4,plc4c,plc4s,plc4sh,plc4x,plc4y,plc5,plc5c,plc5s,plc5sh,plc5x,plc5y,plcundefined,plcundefineds,plcundefinedsh,plcundefinedx,plcundefinedy,response_study_response,response_test_response,response_time_study_response,response_time_test_response,sessionid,stim,type,tq
1,142,3,5,2,1,4,0,0,0,0,5,0,19,59,79,17-10-23,13:30:52,nkmjus,1,1381,sqa5.png,5,1,sqa,-120,0,tri3.png,3,1,tri,120,-120,sqa4.png,4,1,sqa,-120,-120,cir3.png,3,1,cir,0,0,tri4.png,4,1,tri,0,-120,,NA,,NA,NA,right,left,1046,1619,1700224293955,p3sarrshacol4.png,sarrshacol,new
2,143,0,3,0,1,5,2,4,0,0,5,0,19,59,79,17-10-23,13:30:52,nkmjus,2,1381,sqa5.png,5,1,sqa,-120,0,tri4.png,4,1,tri,120,0,tri4.png,4,1,tri,0,-120,sqa2.png,2,1,sqa,-120,120,cir1.png,1,1,cir,0,0,,NA,,NA,NA,right,left,1046,1619,1700224293955,p3sarrshacol4.png,sarrshacol,new
3,144,0,0,0,3,1,2,4,5,0,5,0,19,59,79,17-10-23,13:30:52,nkmjus,3,1381,tri3.png,3,1,tri,0,0,sqa1.png,1,1,sqa,120,0,cir5.png,5,1,cir,-120,0,sqa4.png,4,1,sqa,-120,120,tri3.png,3,1,tri,0,120,,NA,,NA,NA,right,left,1046,1619,1700224293955,p3sarrshacol4.png,sarrshacol,new
4,145,3,0,0,5,1,4,0,0,2,5,0,19,59,79,17-10-23,13:30:52,nkmjus,4,1381,tri5.png,5,1,tri,0,0,cir4.png,4,1,cir,120,120,tri4.png,4,1,tri,-120,-120,cir3.png,3,1,cir,120,0,sqa3.png,3,1,sqa,-120,0,,NA,,NA,NA,right,left,1046,1619,1700224293955,p3sarrshacol4.png,sarrshacol,new
9,432,5,1,4,2,0,3,0,0,0,5,0,19,59,79,28-09-23,10:03:31,hfpvcf,1,1801,cir0.png,0,1,cir,0,-120,sqa0.png,0,1,sqa,-120,0,tri0.png,0,1,tri,120,0,sqa0.png,0,1,sqa,120,-120,cir0.png,0,1,cir,-120,-120,,NA,,NA,NA,right,left,1104,1199,1698480254443,p3sarrshacol4.png,sarrshacol,new
10,433,0,0,2,3,5,4,1,0,0,5,0,19,59,79,28-09-23,10:03:31,hfpvcf,2,1801,tri0.png,0,1,tri,-120,120,tri0.png,0,1,tri,120,-120,sqa0.png,0,1,sqa,-120,0,tri0.png,0,1,tri,120,0,cir0.png,0,1,cir,0,0,,NA,,NA,NA,right,left,1104,1199,1698480254443,p3sarrshacol4.png,sarrshacol,new
11,434,4,5,3,1,0,2,0,0,0,5,0,19,59,79,28-09-23,10:03:31,hfpvcf,3,1801,cir0.png,0,1,cir,-120,0,sqa0.png,0,1,sqa,120,0,sqa0.png,0,1,sqa,120,-120,cir0.png,0,1,cir,-120,-120,tri0.png,0,1,tri,0,-120,,NA,,NA,NA,right,left,1104,1199,1698480254443,p3sarrshacol4.png,sarrshacol,new
12,435,0,0,4,2,1,3,5,0,0,5,0,19,59,79,28-09-23,10:03:31,hfpvcf,4,1801,sqa0.png,0,1,sqa,0,0,tri0.png,0,1,tri,-120,0,tri0.png,0,1,tri,120,0,sqa0.png,0,1,sqa,120,-120,cir0.png,0,1,cir,-120,120,,NA,,NA,NA,right,left,1104,1199,1698480254443,p3sarrshacol4.png,sarrshacol,new
13,718,3,1,0,2,4,5,0,0,0,5,0,19,59,79,15-09-23,17:36:02,fxhvbj,1,2170,sqa3.png,3,1,sqa,0,-120,cir6.png,6,1,cir,-120,0,cir1.png,1,1,cir,-120,-120,sqa6.png,6,1,sqa,0,0,tri5.png,5,1,tri,120,0,,NA,,NA,NA,None,left,3016,830,1697384194844,p3sarrshacol4.png,sarrshacol,new
14,719,4,3,0,2,5,0,1,0,0,5,0,19,59,79,15-09-23,17:36:02,fxhvbj,2,2170,sqa1.png,1,1,sqa,-120,120,cir5.png,5,1,cir,-120,0,tri3.png,3,1,tri,0,-120,tri1.png,1,1,tri,-120,-120,tri3.png,3,1,tri,0,0,sqa0.png,1,sqa,-120,120,None,left,3016,830,1697384194844,p3sarrshacol4.png,sarrshacol,new
