"","participantID","prototype_nr","recall_nr","overall_contrast"
"1","hsinls","1","4","20"
"2","hsinls","2","3","28"
"3","hsinls","3","1","32"
"4","hsinls","4","2","28"
"5","gs16te","1","3","48"
"6","gs16te","2","4","45"
"7","gs16te","3","1","36"
"8","gs16te","4","2","36"
"9","q8zajp","1","1","16"
"10","q8zajp","2","4","49"
"11","q8zajp","3","3","8"
"12","q8zajp","4","2","8"
"13","noe6ck","1","2","47"
"14","noe6ck","2","3","48"
"15","noe6ck","3","1","47"
"16","noe6ck","4","4","52"
"17","cktdi9","1","4","38"
"18","cktdi9","2","1","47"
"19","cktdi9","3","3","40"
"20","cktdi9","4","2","44"
"21","wqufrn","1","2","36"
"22","wqufrn","2","3","45"
"23","wqufrn","3","1","48"
"24","vt3ydj","1","4","22"
"25","vt3ydj","2","1","44"
"26","vt3ydj","3","2","12"
"27","vt3ydj","4","3","48"
"28","v5sueo","1","2","43"
"29","v5sueo","2","1","20"
"30","v5sueo","3","3","40"
"31","v5sueo","4","4","53"
"32","iffzsd","1","2","47"
"33","iffzsd","2","3","22"
"34","iffzsd","3","1","32"
"35","f9w1z2","1","3","32"
"36","f9w1z2","2","4","39"
"37","f9w1z2","3","2","4"
"38","f9w1z2","4","1","32"
"39","woproj","1","1","38"
"40","woproj","2","2","40"
"41","woproj","3","4","47"
"42","woproj","4","3","37"
"43","t7oifc","1","3","48"
"44","t7oifc","2","4","51"
"45","t7oifc","3","1","35"
"46","t7oifc","4","2","62"
"47","p63v13","1","4","36"
"48","p63v13","2","2","39"
"49","p63v13","3","3","45"
"50","p63v13","4","1","0"
"51","i73s61","1","3","40"
"52","i73s61","2","1","47"
"53","i73s61","3","2","56"
"54","i73s61","4","4","36"
"55","ge70df","1","2","24"
"56","ge70df","2","4","40"
"57","ge70df","3","3","34"
"58","ge70df","4","1","52"
"59","rpbafl","1","2","12"
"60","rpbafl","2","1","28"
"61","rpbafl","3","4","28"
"62","rpbafl","4","3","60"
"63","k5e25s","1","3","57"
"64","k5e25s","2","2","62"
"65","k5e25s","3","4","44"
"66","k5e25s","4","1","20"
"67","i58hvn","2","1","45"
"68","mrhaac","1","1","8"
"69","mrhaac","2","3","54"
"70","mrhaac","3","2","46"
"71","mioi5k","1","1","45"
"72","mioi5k","2","2","45"
"73","mioi5k","3","4","32"
"74","mioi5k","4","3","43"
"75","n6hy56","1","1","20"
"76","n6hy56","2","3","18"
"77","n6hy56","3","4","20"
"78","n6hy56","4","2","37"
"79","etqbog","1","1","56"
"80","etqbog","2","2","46"
"81","etqbog","3","4","24"
"82","etqbog","4","3","39"
"83","hfky35","1","1","20"
"84","hfky35","2","4","40"
"85","hfky35","3","3","12"
"86","hfky35","4","2","31"
"87","jy4ypn","1","3","24"
"88","jy4ypn","2","4","44"
"89","jy4ypn","3","2","16"
"90","jy4ypn","4","1","20"
"91","h2va9e","1","1","28"
"92","h2va9e","2","4","38"
"93","h2va9e","3","3","42"
"94","h2va9e","4","2","46"
"95","xt888o","1","1","43"
"96","xt888o","2","2","64"
"97","xt888o","3","4","50"
"98","xt888o","4","3","52"
"99","bto5xt","1","3","24"
"100","bto5xt","2","4","57"
"101","bto5xt","3","1","12"
"102","bto5xt","4","2","16"
"103","c5nh2b","1","3","44"
"104","c5nh2b","2","2","28"
"105","c5nh2b","3","1","46"
"106","c5nh2b","4","4","48"
"107","u9erui","1","4","38"
"108","u9erui","2","2","43"
"109","u9erui","3","3","52"
"110","u9erui","4","1","31"
"111","fvw6d3","1","3","48"
"112","fvw6d3","2","4","20"
"113","fvw6d3","3","1","0"
"114","fvw6d3","4","2","12"
"115","wgonkv","1","4","37"
"116","wgonkv","2","2","42"
"117","wgonkv","3","3","16"
"118","wgonkv","4","1","32"
"119","ewdsfr","1","4","46"
"120","ewdsfr","2","1","40"
"121","ewdsfr","3","2","20"
"122","ewdsfr","4","3","52"
"123","jl0uq8","2","2","12"
"124","jl0uq8","3","1","12"
"125","gesw69","1","1","51"
"126","gesw69","2","3","30"
"127","gesw69","3","4","20"
"128","gesw69","4","2","16"
"129","iqhdm0","1","3","58"
"130","iqhdm0","2","4","40"
"131","iqhdm0","3","2","8"
"132","iqhdm0","4","1","12"
"133","bnbq2z","1","3","50"
"134","bnbq2z","2","1","39"
"135","bnbq2z","3","2","46"
"136","c2oyi6","1","2","20"
"137","c2oyi6","2","4","30"
"138","c2oyi6","3","3","16"
"139","c2oyi6","4","1","16"
"140","bb93kz","1","1","46"
"141","bb93kz","2","4","39"
"142","bb93kz","3","3","30"
"143","bb93kz","4","2","20"
"144","byp0c8","1","3","39"
"145","byp0c8","2","1","27"
"146","byp0c8","3","2","12"
"147","byp0c8","4","4","12"
"148","inhod3","1","1","42"
"149","inhod3","2","3","36"
"150","inhod3","3","2","32"
"151","inhod3","4","4","39"
"152","a74d3k","1","4","62"
"153","a74d3k","2","3","48"
"154","a74d3k","3","1","43"
"155","a74d3k","4","2","36"
"156","svlnk1","1","1","16"
"157","svlnk1","2","2","48"
"158","svlnk1","3","3","4"
