"","participantID","prototype_nr","recall_nr","overall_contrast"
"1",1,1,1,62
"2",1,2,4,49
"3",1,3,2,42
"4",1,4,3,52
"5",2,1,4,51
"6",2,2,2,44
"7",2,3,1,54
"8",2,4,3,50
"9",3,1,4,51
"10",3,2,1,41
"11",3,3,2,55
"12",3,4,3,55
"13",4,1,2,59
"14",4,2,1,46
"15",4,3,3,46
"16",4,4,4,41
"17",5,1,1,51
"18",5,2,2,47
"19",5,3,3,48
"20",5,4,4,50
"21",6,1,4,52
"22",6,2,2,38
"23",6,3,1,48
"24",6,4,3,48
"25",7,1,3,40
"26",7,2,4,52
"27",7,3,1,44
"28",7,4,2,42
"29",8,1,2,43
"30",8,2,3,38
"31",8,3,1,54
"32",8,4,4,42
"33",9,1,2,42
"34",9,2,1,47
"35",9,3,3,42
"36",9,4,4,55
"37",10,1,4,52
"38",10,2,2,50
"39",10,3,3,44
"40",10,4,1,46
"41",11,1,1,45
"42",11,2,2,51
"43",11,3,3,46
"44",11,4,4,50
"45",12,1,2,40
"46",12,2,3,42
"47",12,3,1,31
"48",12,4,4,49
"49",13,1,3,40
"50",13,2,2,46
"51",13,3,4,51
"52",13,4,1,51
"53",14,1,2,45
"54",14,2,1,50
"55",14,3,3,40
"56",14,4,4,48
"57",15,1,2,48
"58",15,2,1,32
"59",15,3,4,42
"60",15,4,3,46
"61",16,1,3,46
"62",16,2,1,46
"63",16,3,4,28
"64",16,4,2,44
"65",17,1,4,44
"66",17,2,3,44
"67",17,3,1,44
"68",17,4,2,36
"69",18,1,1,43
"70",18,2,3,49
"71",18,3,2,32
"72",18,4,4,46
"73",19,1,2,45
"74",19,2,3,41
"75",19,3,4,42
"76",19,4,1,49
"77",20,1,1,45
"78",20,2,3,50
"79",20,3,4,48
"80",20,4,2,47
"81",21,1,4,38
"82",21,2,1,50
"83",21,3,3,44
"84",21,4,2,58
"85",22,1,2,46
"86",22,2,4,52
"87",22,3,3,49
"88",22,4,1,49
"89",23,1,1,37
"90",23,2,4,45
"91",23,3,2,52
"92",23,4,3,44
"93",24,1,2,36
"94",24,2,1,34
"95",24,3,4,42
"96",24,4,3,44
"97",25,1,3,41
"98",25,2,4,43
"99",25,3,2,46
"100",25,4,1,41
"101",26,1,3,24
"102",26,2,1,47
"103",26,3,2,50
"104",26,4,4,45
"105",27,1,1,44
"106",27,2,3,38
"107",27,3,4,41
"108",27,4,2,40
"109",28,1,3,46
"110",28,2,2,40
"111",28,3,4,41
"112",28,4,1,28
"113",29,1,1,60
"114",29,2,2,41
"115",29,3,3,40
"116",29,4,4,36
"117",30,1,2,35
"118",30,2,1,49
"119",30,3,4,43
"120",30,4,3,49
"121",31,1,3,47
"122",31,2,1,40
"123",31,3,2,40
"124",31,4,4,32
"125",32,1,3,47
"126",32,2,1,47
"127",32,3,4,42
"128",32,4,2,29
"129",33,1,1,48
"130",33,2,2,37
"131",33,3,4,42
"132",33,4,3,34
"133",34,1,1,46
"134",34,2,2,36
"135",34,3,3,40
"136",34,4,4,49
"137",35,1,1,52
"138",35,2,4,48
"139",35,3,3,44
"140",35,4,2,35
