"","FP","Difference metric [levenstein]","missing from Wolt","X.2","Wolt"
"1","101 Bistro Express Pest",0.434782608695652,"a LÁNGOSOS",NA,"#Bi Vietnamese food & bar"
"2","15 Perc Pizza Expressz",0.5,"Auntie's Korean Kitchen <U+C774><U+BAA8><U+B124> <U+C2DD><U+B2F9>",NA,"10 Minutes Bistro"
"3","15 Perc Pizza Expressz Belváros",0.419354838709677,"Az igazi “Pille” Túrógombóc és Más",NA,"101 BISTRO EXPRESS"
"4","A Grillcsirkés",0.857142857142857,"BBQ+",NA,"101 BISTRO EXPRESS | Buda"
"5","A Három Kismalac Falatozó",0.44,"Bomboloni by Panificio il Basilico",NA,"21 A Magyar Vendéglõ"
"6","a LÁNGOSOS",0.25,"Brunch Deli - Bakery & Sandwich",NA,"36 Bisztró"
"7","A Mama Pörköltei",0.625,"Che Che Burger <U+23AE> Nyugati",NA,"A Fõzelékes"
"8","Aberna Kebab- Ferenciek tere",0.931034482758621,"COFFEEHUT kávézó - Specialty Coffee",NA,"a Hely Étterem"
"9","Aberna Török Étterem",0.75,"Ecocafe – Bio Specialty Café",NA,"A Pörköltes"
"10","ADM Asian Kitchen",0.588235294117647,"Eni",NA,"a table! - Árkád"
"11","Afrikai Büfé és Bár",0.421052631578947,"Íz-Leld",NA,"a table! - Böszörményi"
"12","Ahoy! Forrócsoki & Gofri",0.333333333333333,"J&B HALAL MEATS",NA,"a table! - Corvin"
"13","Akácfa étkezde",0.571428571428571,"Katónéni Finomságai Downtown",NA,"a table! - Etele"
"14","Akácfa Kebab & Grill",0.55,"NAPFÉNYES VEGÁN ÉTELEK ÉS FINOMSÁGOK",NA,"a table! - Klapka utca"
"15","Al Noor Etterem",0.666666666666667,"Népszínház utca Fornetti",NA,"a table! - MOM"
"16","Al-Amir",0.466666666666667,"Pho To Go - TÖRÖLT",NA,"Aberna Kebab | Ferenciek tere"
"17","Al-Arz Libanese Fast Food",0.52,"Rumi",NA,"Adri Gyros"
"18","Alaplé Bár - Nagymezõ",0.769230769230769,"Séf Asztala-Kovászos pékség: Kossuth",NA,"AL NOOR étterem"
"19","Alfa Bistro",0.666666666666667,"Vágóhíd Pecsenyézõ",NA,"Al-Amir Étterem"
"20","All About Street Food",1,NA,NA,"Alaplé bár - Nagymezõ utca"
"21","All B Döner",0.388888888888889,NA,NA,"Alaplé Bár I Lövõház"
"22","Allstar Pizza",0.555555555555556,NA,NA,"Alfonzó Papa Étterem"
"23","Aloha Poké",1,NA,NA,"All About Street Food"
"24","AMAZY BURGER",1,NA,NA,"All About Street Food I Buda"
"25","Amin Gyros",0.7,NA,NA,"All About Street Food I Pest"
"26","Amore di Napoli Pizzeria",0.625,NA,NA,"Allegretto Étterem és Pizzéria"
"27","ANRI Restaurant & Bar",0.80952380952381,NA,NA,"Allegro"
