"","Wolt","Venues.Venue.ID","Purchases.Ttv.Local.Total","Difference metric [levenstein]","missing from Wolt","FP"
"1","Purple Panda | Árkád","5f4f796532f599735b979778","179226",0.428571428571429,"Etna Házhozszállítás","Don Pepe - Kálmán Imre utca"
"2","#Bi Vietnamese food & bar","5fbf6998bb106f06958dd5cc","748937",0.625,"Che Che Burger <U+23AE> Nyugati","Sörbárka Étterem"
"3","10 Minutes Bistro","5ee7932cfb229b0c2fa9d302","444553",0.545454545454545,"Brunch by Syrup","Mester Büfé"
"4","101 BISTRO EXPRESS | Buda","5fc1148316b0fbe361f8d451","541955",0.769230769230769,"Belvárosi Közösségi Tér Specialty Kávézó","Star Kebab Török Étterem"
"5","21 A Magyar Vendéglõ","5f61c72abea978646e490d98","26068",0.62962962962963,"Séf Asztala-Kovászos pékség: Kossuth","DosaMosa Dél Indiai Étterem"
"6","36 Bisztró","5dc161e8d0454c4eb65918cf","94710",0.666666666666667,"Eni","My Pizza"
"7","A Fõzelékes","5db2dbb9f70d9f34a4dd173f","691184",0.333333333333333,"Tokyo","PHO Ráday 18"
"8","AL NOOR étterem","61f900fd13330201baeaaea6","481880",0.315789473684211,"NAPFÉNYES VEGÁN ÉTELEK ÉS FINOMSÁGOK","Delicious Choice"
"9","AMAZY BURGER","63e627fbafdfd8d51447e5af","76050",0.481481481481482,"Az igazi “Pille” Túrógombóc és Más","Deep Burger | Füge Udvar"
"10","ARANYHÍD ÉTTEREM","5f0ec7137678a6ddb5d71dd5","680596",0.80952380952381,"Auntie's Korean Kitchen <U+C774><U+BAA8><U+B124> <U+C2DD><U+B2F9>","ANRI Restaurant & Bar"
"11","ART PUB","5fbb9ceb3b3c07955c8e1c19","726908",0.533333333333333,"Ecocafe – Bio Specialty Café","La Lune Café"
"12","AVANTI Pizza","5ccc01055ce4440a2e793a5b","78890",0.371428571428571,"BBQ+","Sült Tészta az Astoria Pizza Hutnál"
"13","Abdu Kebab Csepel","620d05d9a02f3b4a3d53baf5","3748",0.5,"Népszínház utca Fornetti","Kashmiri Büfé"
"14","Adri Gyros","620283f2c2c6e618e50ac2ec","607136",0.388888888888889,"Vágóhíd Pecsenyézõ","All B Döner"
"15","Al-Amir Étterem","5f917e5311afdc617db6a445","112922",0.727272727272727,"Bomboloni by Panificio il Basilico","Top Burger"
"16","Alaplé Bár I Lövõház","637b68902825a3760f003122","40614",0.481481481481482,"Brunch Deli - Bakery & Sandwich","Beer and Burger I Akácfa"
"17","Alaplé bár - Nagymezõ utca","611cc133a236c6c85d70897d","54103",1,"COFFEEHUT kávézó - Specialty Coffee","Tölcsibe I Wesselényi"
"18","Alfonzó Papa Étterem","6155a2e7d297ac31fa81007e","122395",0.346153846153846,"Tyúkanyó Csibefaló","Pesti Pipi - Deák tér"
"19","All About Street Food I Buda","635a6b8461c2f04b259b36e2","5389",0.621621621621622,"Íz-Leld","Istanbul Kebab Akácfa Étterem & Grill"
"20","All About Street Food I Pest","5c5c46ff3bc43d000b5c9ee6","99802",0.904761904761905,"J&B HALAL MEATS","McDonald's - Astoria"
"21","Allegretto Étterem és Pizzéria","630a012eeefa0edb35ec1ce8","48280",1,"Katónéni Finomságai Downtown","Flour Style Wok Bar"
"22","Allegro","60ae6641c81cb27e4b05f222","89134",0.333333333333333,"a LÁNGOSOS","Mesopotamia"
"23","Aloha Poké","5dc2c4627d29a5f8e9775fc6","242257",0.709677419354839,"Pho To Go - TÖRÖLT","Bécsiszelet Vendéglõ (Jókai u.)"
"24","Aloha Poké II.","5dc2c4627d29a5f8e9775fc6","5299",0.607142857142857,"Rumi","Ponte Pizza and Restaurant"
"25","Alterego","6388b2c6132f665a114f761d","27870",0.903225806451613,NA,"Bécsiszelet Vendéglõ (Üllõi út)"
"26","American Burger I Hidegkúti","63c95dba8219268036a5503e","42603",0.75,NA,"Black Cab Burger Mester utca"
"27","Amici Miei Ristorante","5e7c6b0f9a0ffcaec7e20679","792517",0.421052631578947,NA,"Star Kebab Teréz 62"
"28","Amore di Napoli","60880846209b3d2ee92a92a6","600916",1,NA,"Kínai Büfé - Visegrádi utca"
"29","Anyám szerint","5c5aa227cdea19000a41bf7a","424305",1,NA,"Firpo Burger"
"30","Apacuka Étterem","5fa2b934dfc81b629368e513","150569",0.733333333333333,NA,"Drum Cafe Lángos és Gulyás Bár"
"31","Aragvi Grúz Étterem","5fd873c6ca4a7ca4118b433f","46487",0.46875,NA,"Bamba Marha Burger Bár I Astoria"
"32","Arany Étterem & Pizzéria","6388bfb3227ac7d13209f42d","55610",0.378378378378378,NA,"Wokzilla sushi & wok bár - Ráday utca"
"33","Aranyhal Vendéglõ","5e710167a4482eb1185c2fca","59045",1,NA,"EPIC Burger Corvin"
"34","Aranypinty","60c9cbf22159b0fc292733e8","48589",0.421052631578947,NA,"KFC Deák"
"35","Aranytyúk","6048dfdc372b521d5b15b82d","78588",1,NA,"Panírbetyárok"
"36","Aroma Indiai Étterem","6345429bb8fb2cebfda5fd1c","214221",1,NA,"JóAsszony - Corvin"
"37","Arriba Taquería | Bartók","5de6238d36c2807e03dfd8a7","1294703",0.476190476190476,NA,"Pasa Kebab Rákóczi út"
"38","Arriba Taquería | Oktogon","5de624e6fc4a8afaef78c91a","1709469",0.515151515151515,NA,"Catch Burger - Mester utca"
"39","Arriba Taquería | Széna tér","5de6244931dfd5321af466a2","797842",0.92,NA,"Noodle Pack Teréz körút"
"40","Arzenál Konyha","6023b850e3cb01071a53c0b5","185041",0.464285714285714,NA,"Donna Mamma Pizza Napoletana"
"41","Asia Express | Etele Pláza","627b7e28c599d49c7b5e3193","4469",1,NA,"Retro Lángos Budapest"
