WOLT - SZÉP;Venues Venue ID;📌 Purchases Ttv Local Total;;;FP SZÉP
Purple Panda | Árkád;5f4f796532f599735b979778;179226;;;Don Pepe - Kálmán Imre utca
#Bi Vietnamese food & bar;5fbf6998bb106f06958dd5cc;748937;;;Sörbárka Étterem
10 Minutes Bistro;5ee7932cfb229b0c2fa9d302;444553;;;Mester Büfé
101 BISTRO EXPRESS | Buda;5fc1148316b0fbe361f8d451;541955;;;Star Kebab Török Étterem
21 A Magyar Vendéglő;5f61c72abea978646e490d98;26068;;;DosaMosa Dél Indiai Étterem
36 Bisztró;5dc161e8d0454c4eb65918cf;94710;;;My Pizza
A Főzelékes;5db2dbb9f70d9f34a4dd173f;691184;;;PHO Ráday 18
AL NOOR étterem;61f900fd13330201baeaaea6;481880;;;Delicious Choice
AMAZY BURGER;63e627fbafdfd8d51447e5af;76050;;;Deep Burger | Füge Udvar
ARANYHÍD ÉTTEREM;5f0ec7137678a6ddb5d71dd5;680596;;;ANRI Restaurant & Bar
ART PUB;5fbb9ceb3b3c07955c8e1c19;726908;;;La Lune Café
AVANTI Pizza;5ccc01055ce4440a2e793a5b;78890;;;Sült Tészta az Astoria Pizza Hutnál
Abdu Kebab Csepel;620d05d9a02f3b4a3d53baf5;3748;;;Kashmiri Büfé
Adri Gyros;620283f2c2c6e618e50ac2ec;607136;;;All B Döner
Al-Amir Étterem;5f917e5311afdc617db6a445;112922;;;Top Burger
Alaplé Bár I Lövőház;637b68902825a3760f003122;40614;;;Beer and Burger I Akácfa
Alaplé bár - Nagymező utca;611cc133a236c6c85d70897d;54103;;;Tölcsibe I Wesselényi
Alfonzó Papa Étterem;6155a2e7d297ac31fa81007e;122395;;;Pesti Pipi - Deák tér
All About Street Food I Buda;635a6b8461c2f04b259b36e2;5389;;;Istanbul Kebab Akácfa Étterem & Grill
All About Street Food I Pest;5c5c46ff3bc43d000b5c9ee6;99802;;;McDonald's - Astoria
Allegretto Étterem és Pizzéria;630a012eeefa0edb35ec1ce8;48280;;;Flour Style Wok Bar
Allegro;60ae6641c81cb27e4b05f222;89134;;;Mesopotamia
Aloha Poké;5dc2c4627d29a5f8e9775fc6;242257;;;Bécsiszelet Vendéglő (Jókai u.)
Aloha Poké II.;5dc2c4627d29a5f8e9775fc6;5299;;;Ponte Pizza and Restaurant
Alterego;6388b2c6132f665a114f761d;27870;;;Bécsiszelet Vendéglő (Üllői út)
American Burger I Hidegkúti;63c95dba8219268036a5503e;42603;;;Black Cab Burger Mester utca
