acc,accuracy,average_response_time,avg_rt,background,bidi,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,count_end,count_experiment,count_osweb,count_prestudy,count_prestudy_isi,count_prestudy_sequence,count_prestudy_stimpres,count_start,count_study,count_study_coroutines,count_study_isi,count_study_logger,count_study_response,count_study_sequence,count_study_start,count_study_stimpres,count_test,count_test_coroutines,count_test_isi,count_test_logger,count_test_response,count_test_sequence,count_test_start,count_test_stimpres,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,fampict,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_start,response_study_start,response_test_start,response_time,response_time_start,response_time_study_start,response_time_test_start,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim,subject_nr,subject_parity,system_os,time_prestudy,time_prestudy_isi,time_prestudy_stimpres,time_start,time_study,time_study_isi,time_study_logger,time_study_response,time_study_start,time_study_stimpres,time_test,time_test_isi,time_test_logger,time_test_response,time_test_start,time_test_stimpres,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p6sarr1.png,1,odd,Win32,66,136980,133976,66,66,162710,164217,157723,138501,157723,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,1,1,1,1,1,0,1,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,prototype3.png,1,odd,Win32,66,136980,133976,66,66,169234,170740,164257,138501,164257,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,2,2,2,2,2,0,2,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p3sarr1.png,1,odd,Win32,66,136980,133976,66,66,175759,177263,170769,138501,170769,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,3,3,3,3,3,0,3,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p9sarr2.png,1,odd,Win32,66,136980,133976,66,66,182290,183799,177297,138501,177297,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,4,4,4,4,4,0,4,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p4sarr2.png,1,odd,Win32,66,136980,133976,66,66,188815,190321,183827,138501,183827,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,5,5,5,5,5,0,5,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p4sarrshacol2.png,1,odd,Win32,66,136980,133976,66,66,195338,196845,190356,138501,190356,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,6,6,6,6,6,0,6,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p5sarrsha2.png,1,odd,Win32,66,136980,133976,66,66,201874,203380,196892,138501,196892,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,7,7,7,7,7,0,7,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p2sarr1.png,1,odd,Win32,66,136980,133976,66,66,208401,209903,203402,138501,203402,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,8,8,8,8,8,0,8,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,prototype4.png,1,odd,Win32,66,136980,133976,66,66,214919,216426,209928,138501,209928,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,9,9,9,9,9,0,9,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p5sarrsha1.png,1,odd,Win32,66,136980,133976,66,66,221436,222949,216454,138501,216454,66,,,,,,visual_patterns,0,0,0,yes,1366
