"datetime","response","response_time","stim","total_responses","workerId","count_test_stimpres","response_test_response","response_time_test_response","st_corr","type","tq"
"Sat May 16 2020 18","right","2820","p6sarr1.png","1","1761",NA,NA,NA,1,"diffarr","x"
"Sat May 16 2020 18","left","1557","prototype3.png","2","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","1538","p3sarr1.png","3","1761",NA,NA,NA,1,"sarr","x"
"Sat May 16 2020 18","right","1285","p9sarr2.png","4","1761",NA,NA,NA,1,"diffarr","x"
"Sat May 16 2020 18","None","3012","p4sarr2.png","6","1761",NA,NA,NA,0,"sarr","x"
"Sat May 16 2020 18","right","1084","p4sarrshacol2.png","7","1761",NA,NA,NA,1,"sarrshacol","x"
"Sat May 16 2020 18","None","3017","p5sarrsha2.png","8","1761",NA,NA,NA,0,"sarrsha","x"
"Sat May 16 2020 18","right","2100","p2sarr1.png","9","1761",NA,NA,NA,1,"sarr","x"
"Sat May 16 2020 18","left","1951","prototype4.png","10","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","2455","p5sarrsha1.png","11","1761",NA,NA,NA,1,"sarrsha","x"
"Sat May 16 2020 18","right","2634","p5sarrcol1.png","12","1761",NA,NA,NA,1,"sarrcol","x"
"Sat May 16 2020 18","left","969","p8sarr2.png","13","1761",NA,NA,NA,0,"diffarr","x"
"Sat May 16 2020 18","right","2587","p5sarrshacol2.png","14","1761",NA,NA,NA,1,"sarrshacol","x"
"Sat May 16 2020 18","right","1298","p8sarr1.png","15","1761",NA,NA,NA,1,"diffarr","x"
"Sat May 16 2020 18","left","1653","p3sarrcol1.png","16","1761",NA,NA,NA,0,"sarrcol","x"
"Sat May 16 2020 18","right","2040","prototype1.png","17","1761",NA,NA,NA,0,"prototype","x"
"Sat May 16 2020 18","right","2145","p2sarr2.png","18","1761",NA,NA,NA,1,"sarr","x"
"Sat May 16 2020 18","right","1529","p3sarrsha2.png","19","1761",NA,NA,NA,1,"sarrsha","x"
"Sat May 16 2020 18","left","1499","prototype4.png","20","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","2753","p3sarrsha1.png","21","1761",NA,NA,NA,1,"sarrsha","x"
"Sat May 16 2020 18","left","2089","prototype2.png","22","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","1836","p4sarrcol2.png","23","1761",NA,NA,NA,1,"sarrcol","x"
"Sat May 16 2020 18","right","1679","p5sarrshacol1.png","24","1761",NA,NA,NA,1,"sarrshacol","x"
"Sat May 16 2020 18","right","2394","prototype2.png","25","1761",NA,NA,NA,0,"prototype","x"
"Sat May 16 2020 18","right","2167","p4sarrsha2.png","26","1761",NA,NA,NA,1,"sarrsha","x"
"Sat May 16 2020 18","None","3009","p9sarr1.png","27","1761",NA,NA,NA,0,"diffarr","x"
"Sat May 16 2020 18","right","1003","prototype1.png","28","1761",NA,NA,NA,0,"prototype","x"
"Sat May 16 2020 18","right","1554","p4sarrcol1.png","29","1761",NA,NA,NA,1,"sarrcol","x"
"Sat May 16 2020 18","left","1594","prototype4.png","30","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","left","1528","prototype5.png","31","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","1661","p5sarrcol2.png","32","1761",NA,NA,NA,1,"sarrcol","x"
"Sat May 16 2020 18","right","1640","p2sarrsha2.png","33","1761",NA,NA,NA,1,"sarrsha","x"
"Sat May 16 2020 18","None","3017","p5sarr1.png","34","1761",NA,NA,NA,0,"sarr","x"
"Sat May 16 2020 18","left","1605","p3sarrshacol1.png","35","1761",NA,NA,NA,0,"sarrshacol","x"
"Sat May 16 2020 18","right","1693","prototype1.png","36","1761",NA,NA,NA,0,"prototype","x"
"Sat May 16 2020 18","right","1232","p4sarrshacol1.png","37","1761",NA,NA,NA,1,"sarrshacol","x"
"Sat May 16 2020 18","left","1077","prototype3.png","38","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","left","2086","prototype3.png","39","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","782","p7sarr1.png","40","1761",NA,NA,NA,1,"diffarr","x"
"Sat May 16 2020 18","right","1731","p1sarrsha1.png","41","1761",NA,NA,NA,1,"sarrsha","x"
"Sat May 16 2020 18","left","2419","prototype5.png","42","1761",NA,NA,NA,1,"prototype","x"
