"","datetime","response","response_time","stim","total_responses","workerId","count_test_stimpres","response_test_response","response_time_test_response","st_corr","type","tq","DTF","DTAF","DTAN","DTN_byPhase","stimpresseq","DTPPm","DTPPsd"
"1","Sat May 16 2020 18","right",2820,"p6sarr1.png",1,"1761",NA,NA,NA,1,"diffarr","x",11,17.2,18.1578947368421,18.3333333333333,1,16.5384615384615,4.8926947113489
"2","Sat May 16 2020 18","left",1557,"prototype3.png",2,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,2,10.2962962962963,6.11313097932396
"3","Sat May 16 2020 18","right",1538,"p3sarr1.png",3,"1761",NA,NA,NA,1,"sarr","x",7,12.6,13.4210526315789,13.4444444444444,3,12.1071428571429,4.97653222795483
"4","Sat May 16 2020 18","right",1285,"p9sarr2.png",4,"1761",NA,NA,NA,1,"diffarr","x",15,21,15.2105263157895,15.8888888888889,4,20.6551724137931,5.34038429642451
"5","Sat May 16 2020 18","None",3012,"p4sarr2.png",6,"1761",NA,NA,NA,0,"sarr","x",4,12,13.2631578947368,13.7777777777778,5,12.4,5.23647683611533
"6","Sat May 16 2020 18","right",1084,"p4sarrshacol2.png",7,"1761",NA,NA,NA,1,"sarrshacol","x",3,11.2,12.2631578947368,12.6666666666667,6,11.3225806451613,5.34407520390069
"7","Sat May 16 2020 18","None",3017,"p5sarrsha2.png",8,"1761",NA,NA,NA,0,"sarrsha","x",4,10.8,10.8947368421053,11.2222222222222,7,11.15625,4.77972448254418
"8","Sat May 16 2020 18","right",2100,"p2sarr1.png",9,"1761",NA,NA,NA,1,"sarr","x",9,11,11.2105263157895,11.5555555555556,8,11.3030303030303,3.23539843455223
"9","Sat May 16 2020 18","left",1951,"prototype4.png",10,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,9,10.7941176470588,6.27056331993993
"10","Sat May 16 2020 18","right",2455,"p5sarrsha1.png",11,"1761",NA,NA,NA,1,"sarrsha","x",5,10.8,10.9473684210526,11.5555555555556,10,10.9142857142857,4.36140444576008
"11","Sat May 16 2020 18","right",2634,"p5sarrcol1.png",12,"1761",NA,NA,NA,1,"sarrcol","x",3,10.6,11.6842105263158,12.1111111111111,11,10.6111111111111,4.69819283054835
"12","Sat May 16 2020 18","left",969,"p8sarr2.png",13,"1761",NA,NA,NA,0,"diffarr","x",21,18.6,15.2631578947368,15.2222222222222,12,17.9459459459459,3.51935873219623
"13","Sat May 16 2020 18","right",2587,"p5sarrshacol2.png",14,"1761",NA,NA,NA,1,"sarrshacol","x",3,10.6,10.8421052631579,11.1111111111111,13,10.6052631578947,5.05932093341138
"14","Sat May 16 2020 18","right",1298,"p8sarr1.png",15,"1761",NA,NA,NA,1,"diffarr","x",22,18.8,14.6842105263158,15.4444444444444,14,17.8205128205128,4.01884897682353
"15","Sat May 16 2020 18","left",1653,"p3sarrcol1.png",16,"1761",NA,NA,NA,0,"sarrcol","x",3,11.6,12.4736842105263,12.8888888888889,15,12.45,5.7465708838469
"16","Sat May 16 2020 18","right",2040,"prototype1.png",17,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,16,13.4878048780488,5.9879961223247
"17","Sat May 16 2020 18","right",2145,"p2sarr2.png",18,"1761",NA,NA,NA,1,"sarr","x",8,10.2,11.4736842105263,11.7777777777778,17,11.0238095238095,3.68575435068123
"18","Sat May 16 2020 18","right",1529,"p3sarrsha2.png",19,"1761",NA,NA,NA,1,"sarrsha","x",4,11.6,11.6842105263158,12.3333333333333,18,12.1627906976744,5.33599739664988
"19","Sat May 16 2020 18","left",1499,"prototype4.png",20,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,19,11.1818181818182,6.07424118056418
"20","Sat May 16 2020 18","right",2753,"p3sarrsha1.png",21,"1761",NA,NA,NA,1,"sarrsha","x",4,11.6,11.8421052631579,12.3333333333333,20,11.9333333333333,5.54485838822368
"21","Sat May 16 2020 18","left",2089,"prototype2.png",22,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,21,10.6739130434783,4.89014586388262
"22","Sat May 16 2020 18","right",1836,"p4sarrcol2.png",23,"1761",NA,NA,NA,1,"sarrcol","x",4,12,12.7368421052632,13.1111111111111,22,12.1063829787234,5.11703906636059
"23","Sat May 16 2020 18","right",1679,"p5sarrshacol1.png",24,"1761",NA,NA,NA,1,"sarrshacol","x",3,10.2,10.8947368421053,11.3333333333333,23,10.6458333333333,4.78690404693994
"24","Sat May 16 2020 18","right",2394,"prototype2.png",25,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,24,10.4897959183673,4.98799579398543
"25","Sat May 16 2020 18","right",2167,"p4sarrsha2.png",26,"1761",NA,NA,NA,1,"sarrsha","x",4,11.6,11.8421052631579,12.2222222222222,25,11.64,4.81816291521478
"26","Sat May 16 2020 18","None",3009,"p9sarr1.png",27,"1761",NA,NA,NA,0,"diffarr","x",18,20.6,15.1578947368421,15.5555555555556,26,19.9411764705882,4.28677857933382
"27","Sat May 16 2020 18","right",1003,"prototype1.png",28,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,27,13.6346153846154,5.81758270045398
"28","Sat May 16 2020 18","right",1554,"p4sarrcol1.png",29,"1761",NA,NA,NA,1,"sarrcol","x",4,12.6,12.6315789473684,13.5555555555556,28,12.5471698113208,5.19454609602095
"29","Sat May 16 2020 18","left",1594,"prototype4.png",30,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,29,10.9259259259259,6.08075172814309
