"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"910","2021/01/21 13:36:09","2021/01/21 13:36:10","00:00:00 (not finished yet)","Default","872","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"878","2020/12/15 15:27:24","2020/12/15 15:27:24","00:00:00 (not finished yet)","ELTE-krajcsi","1989","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"875","2020/12/14 11:40:54","2020/12/14 11:40:54","00:00:00 (not finished yet)","Default","872","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"841","2020/12/11 10:10:13","2020/12/11 10:10:13","00:00:00 (not finished yet)","ELTE-krajcsi","1976","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"796","2020/12/09 19:51:05","2020/12/09 19:51:05","00:00:00 (not finished yet)","ELTE-krajcsi","1968","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"786","2020/12/09 15:36:55","2020/12/09 15:36:55","00:00:00 (not finished yet)","ELTE-krajcsi","1959","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"772","2020/12/09 11:09:56","2020/12/09 11:09:57","00:00:00 (not finished yet)","ELTE-krajcsi","1960","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"771","2020/12/09 11:09:16","2020/12/09 11:09:17","00:00:00 (not finished yet)","ELTE-krajcsi","1960","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"587","2020/12/04 13:45:03","2020/12/04 13:45:04","00:00:00 (not finished yet)","Default","872","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"570","2020/12/02 10:09:30","2020/12/02 10:09:31","00:00:00 (not finished yet)","Default","886","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"564","2020/12/01 19:22:43","2020/12/01 19:22:44","00:00:00 (not finished yet)","Default","901","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"563","2020/12/01 19:21:49","2020/12/01 19:21:50","00:00:00 (not finished yet)","Default","901","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"562","2020/12/01 19:21:27","2020/12/01 19:21:28","00:00:00 (not finished yet)","Default","901","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"561","2020/12/01 19:20:49","2020/12/01 19:20:50","00:00:00 (not finished yet)","Default","901","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"549","2020/11/30 19:38:10","2020/11/30 19:38:11","00:00:00 (not finished yet)","Default","892","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"548","2020/11/30 19:37:46","2020/11/30 19:37:47","00:00:00 (not finished yet)","Default","892","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"545","2020/11/30 18:37:32","2020/11/30 18:37:32","00:00:00 (not finished yet)","Default","893","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"544","2020/11/30 18:37:26","2020/11/30 18:37:27","00:00:00 (not finished yet)","Default","893","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"540","2020/11/30 15:43:11","2020/11/30 15:43:12","00:00:00 (not finished yet)","Default","889","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"538","2020/11/30 15:41:44","2020/11/30 15:41:45","00:00:00 (not finished yet)","Default","890","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"530","2020/11/30 15:34:41","2020/11/30 15:34:42","00:00:00 (not finished yet)","Default","890","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"525","2020/11/30 11:54:20","2020/11/30 11:54:20","00:00:00 (not finished yet)","Default","883","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"514","2020/11/28 18:14:33","2020/11/28 18:14:34","00:00:00 (not finished yet)","Default","874","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"509","2020/11/28 14:25:01","2020/11/28 14:25:02","00:00:00 (not finished yet)","Default","868","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"495","2020/11/28 08:23:22","2020/11/28 08:23:23","00:00:00 (not finished yet)","Default","853","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"493","2020/11/28 07:58:12","2020/11/28 07:58:12","00:00:00 (not finished yet)","Default","855","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"492","2020/11/28 07:57:07","2020/11/28 07:57:08","00:00:00 (not finished yet)","Default","855","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"1114","2021/10/12 11:41:26","2021/10/12 11:41:27","00:00:01 (not finished yet)","Labor_kiserlet-202109","2607","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"881","2020/12/16 12:15:21","2020/12/16 12:15:22","00:00:01 (not finished yet)","ELTE-krajcsi","1991","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"816","2020/12/10 13:47:39","2020/12/10 13:47:41","00:00:01 (not finished yet)","ELTE-krajcsi","1961","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"789","2020/12/09 16:15:30","2020/12/09 16:15:31","00:00:01 (not finished yet)","ELTE-krajcsi","1966","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"775","2020/12/09 13:29:19","2020/12/09 13:29:20","00:00:01 (not finished yet)","ELTE-krajcsi","1961","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"547","2020/11/30 19:37:32","2020/11/30 19:37:33","00:00:01 (not finished yet)","Default","892","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"539","2020/11/30 15:42:59","2020/11/30 15:43:00","00:00:01 (not finished yet)","Default","890","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"528","2020/11/30 15:34:25","2020/11/30 15:34:26","00:00:01 (not finished yet)","Default","890","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"523","2020/11/29 22:47:59","2020/11/29 22:48:01","00:00:01 (not finished yet)","Default","876","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"499","2020/11/28 10:34:00","2020/11/28 10:34:01","00:00:01 (not finished yet)","Default","860","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"744","2020/12/08 21:02:02","2020/12/08 21:02:04","00:00:02 (not finished yet)","ELTE-krajcsi","1953","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"505","2020/11/28 13:15:20","2020/11/28 13:15:23","00:00:02 (not finished yet)","Default","866","Personal Multiple","none(none)","DATA_RETRIEVED","none"
