"batchId","batchTitle","count_study_sequence","count_test_sequence","datetime","response","response_study_response","response_test_response","response_time","response_time_study_response","response_time_test_response","stim","studyResultId","workerId","type","tq","DTF","DTAF","DTAN","DTN_byPhase","DTN"
30,"krajcsi",0,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2820,2820,NA,"p6sarr1.png",514,"1761","diffarr","study",11,17.2,18.1578947368421,18.3333333333333,17.0505050505051
30,"krajcsi",1,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1557,1557,NA,"prototype3.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",2,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1538,1538,NA,"p3sarr1.png",514,"1761","sarr","study",7,12.6,13.4210526315789,13.4444444444444,14.3535353535354
30,"krajcsi",3,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1285,1285,NA,"p9sarr2.png",514,"1761","diffarr","study",15,21,15.2105263157895,15.8888888888889,20.040404040404
30,"krajcsi",4,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","None","None","",3012,3012,NA,"p4sarr2.png",514,"1761","sarr","study",4,12,13.2631578947368,13.7777777777778,13.6464646464646
30,"krajcsi",5,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1084,1084,NA,"p4sarrshacol2.png",514,"1761","sarrshacol","study",3,11.2,12.2631578947368,12.6666666666667,13.3131313131313
30,"krajcsi",6,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","None","None","",3017,3017,NA,"p5sarrsha2.png",514,"1761","sarrsha","study",4,10.8,10.8947368421053,11.2222222222222,12.8686868686869
30,"krajcsi",7,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2100,2100,NA,"p2sarr1.png",514,"1761","sarr","study",9,11,11.2105263157895,11.5555555555556,12.6262626262626
30,"krajcsi",8,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1951,1951,NA,"prototype4.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",9,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2455,2455,NA,"p5sarrsha1.png",514,"1761","sarrsha","study",5,10.8,10.9473684210526,11.5555555555556,12.9191919191919
30,"krajcsi",10,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2634,2634,NA,"p5sarrcol1.png",514,"1761","sarrcol","study",3,10.6,11.6842105263158,12.1111111111111,13.0505050505051
30,"krajcsi",11,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",969,969,NA,"p8sarr2.png",514,"1761","diffarr","study",21,18.6,15.2631578947368,15.2222222222222,17.979797979798
30,"krajcsi",12,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2587,2587,NA,"p5sarrshacol2.png",514,"1761","sarrshacol","study",3,10.6,10.8421052631579,11.1111111111111,12.7777777777778
30,"krajcsi",13,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1298,1298,NA,"p8sarr1.png",514,"1761","diffarr","study",22,18.8,14.6842105263158,15.4444444444444,17.7373737373737
30,"krajcsi",14,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1653,1653,NA,"p3sarrcol1.png",514,"1761","sarrcol","study",3,11.6,12.4736842105263,12.8888888888889,14.2323232323232
30,"krajcsi",15,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2040,2040,NA,"prototype1.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",16,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2145,2145,NA,"p2sarr2.png",514,"1761","sarr","study",8,10.2,11.4736842105263,11.7777777777778,12.2525252525253
30,"krajcsi",17,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1529,1529,NA,"p3sarrsha2.png",514,"1761","sarrsha","study",4,11.6,11.6842105263158,12.3333333333333,13.9191919191919
30,"krajcsi",18,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1499,1499,NA,"prototype4.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",19,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2753,2753,NA,"p3sarrsha1.png",514,"1761","sarrsha","study",4,11.6,11.8421052631579,12.3333333333333,13.979797979798
30,"krajcsi",20,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",2089,2089,NA,"prototype2.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",21,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1836,1836,NA,"p4sarrcol2.png",514,"1761","sarrcol","study",4,12,12.7368421052632,13.1111111111111,13.7777777777778
30,"krajcsi",22,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1679,1679,NA,"p5sarrshacol1.png",514,"1761","sarrshacol","study",3,10.2,10.8947368421053,11.3333333333333,12.6666666666667
30,"krajcsi",23,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2394,2394,NA,"prototype2.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",24,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2167,2167,NA,"p4sarrsha2.png",514,"1761","sarrsha","study",4,11.6,11.8421052631579,12.2222222222222,13.4141414141414
30,"krajcsi",25,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","None","None","",3009,3009,NA,"p9sarr1.png",514,"1761","diffarr","study",18,20.6,15.1578947368421,15.5555555555556,19.7979797979798
30,"krajcsi",26,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1003,1003,NA,"prototype1.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",27,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1554,1554,NA,"p4sarrcol1.png",514,"1761","sarrcol","study",4,12.6,12.6315789473684,13.5555555555556,13.9393939393939
30,"krajcsi",28,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1594,1594,NA,"prototype4.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",29,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1528,1528,NA,"prototype5.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",30,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1661,1661,NA,"p5sarrcol2.png",514,"1761","sarrcol","study",4,11.2,11.5263157894737,11.8888888888889,13.1111111111111
30,"krajcsi",31,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1640,1640,NA,"p2sarrsha2.png",514,"1761","sarrsha","study",5,9.4,10,10.4444444444444,11.9292929292929
30,"krajcsi",32,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","None","None","",3017,3017,NA,"p5sarr1.png",514,"1761","sarr","study",6,12.2,12.4210526315789,12.6666666666667,13.3232323232323
30,"krajcsi",33,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1605,1605,NA,"p3sarrshacol1.png",514,"1761","sarrshacol","study",2,11,11.4736842105263,11.7777777777778,13.7272727272727
30,"krajcsi",34,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1693,1693,NA,"prototype1.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",35,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1232,1232,NA,"p4sarrshacol1.png",514,"1761","sarrshacol","study",3,11.4,12.0526315789474,12.6666666666667,13.3535353535354
30,"krajcsi",36,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1077,1077,NA,"prototype3.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",37,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",2086,2086,NA,"prototype3.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",38,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",782,782,NA,"p7sarr1.png",514,"1761","diffarr","study",17,17.8,15.8421052631579,16.8888888888889,17.1919191919192
30,"krajcsi",39,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1731,1731,NA,"p1sarrsha1.png",514,"1761","sarrsha","study",4,13,13.2105263157895,13.8888888888889,14.0505050505051
30,"krajcsi",40,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",2419,2419,NA,"prototype5.png",514,"1761","prototype","study",0,0,0,0,0
