"pict","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"p10d4_1",0,1,0,1,0,1,0,1,0
"p10d4_1col",0,3,0,1,0,1,0,1,0
"p10d4_1sha",0,3,0,2,0,1,0,2,0
"p10d4_2",0,1,0,1,0,1,0,1,0
"p10d4_2col",0,2,0,2,0,3,0,2,0
"p10d4_2sha",0,3,0,2,0,3,0,1,0
"p10d4_3",0,1,0,1,0,1,0,1,0
"p10d4_3col",0,2,0,2,0,1,0,1,0
"p10d4_3sha",0,1,0,2,0,1,0,1,0
"p10d4_4",0,1,0,1,0,1,0,1,0
"p10d4_4col",0,3,0,2,0,1,0,1,0
"p10d4_4sha",0,1,0,2,0,3,0,2,0
"p1d1_1",1,0,0,0,1,1,0,0,1
"p1d1_1col",3,0,0,0,1,2,0,0,1
"p1d1_1sha",3,0,0,0,2,2,0,0,2
"p1d1_2",1,0,0,0,1,1,0,0,1
"p1d1_2col",3,0,0,0,2,2,0,0,3
"p1d1_2sha",3,0,0,0,1,2,0,0,3
"p1d1_3",1,0,0,0,1,1,0,0,1
"p1d1_3col",3,0,0,0,1,2,0,0,2
"p1d1_3sha",3,0,0,0,2,2,0,0,2
"p1d1_4",1,0,0,0,1,1,0,0,1
"p1d1_4col",3,0,0,0,1,2,0,0,2
"p1d1_4sha",3,0,0,0,2,2,0,0,1
"p1d2_1",1,0,0,0,1,1,0,0,1
"p1d2_1col",3,0,0,0,2,2,0,0,2
"p1d2_1sha",3,0,0,0,3,2,0,0,1
"p1d2_2",1,0,0,0,1,1,0,0,1
"p1d2_2col",3,0,0,0,3,2,0,0,2
"p1d2_2sha",3,0,0,0,3,2,0,0,1
"p1d2_3",1,0,0,0,1,1,0,0,1
"p1d2_3col",3,0,0,0,2,3,0,0,3
"p1d2_3sha",3,0,0,0,3,1,0,0,3
"p1d2_4",1,0,0,0,1,1,0,0,1
"p1d2_4col",2,0,0,0,1,1,0,0,3
"p1d2_4sha",1,0,0,0,2,3,0,0,3
"p1d3_1",1,0,0,0,1,1,0,0,1
"p1d3_1col",1,0,0,0,2,3,0,0,3
"p1d3_1sha",1,0,0,0,3,3,0,0,3
"p1d3_2",1,0,0,0,1,1,0,0,1
"p1d3_2col",2,0,0,0,1,1,0,0,2
"p1d3_2sha",2,0,0,0,2,1,0,0,1
"p1d3_3",1,0,0,0,1,1,0,0,1
"p1d3_3col",2,0,0,0,3,3,0,0,3
"p1d3_3sha",1,0,0,0,1,1,0,0,3
"p1d3_4",1,0,0,0,1,1,0,0,1
"p1d3_4col",2,0,0,0,1,1,0,0,2
"p1d3_4sha",2,0,0,0,2,3,0,0,1
"p1d4_1",1,0,0,0,1,1,0,0,1
"p1d4_1col",1,0,0,0,3,3,0,0,1
"p1d4_1sha",1,0,0,0,1,3,0,0,2
"p1d4_2",1,0,0,0,1,1,0,0,1
"p1d4_2col",2,0,0,0,2,3,0,0,1
"p1d4_2sha",1,0,0,0,3,3,0,0,1
"p1d4_3",1,0,0,0,1,1,0,0,1
"p1d4_3col",1,0,0,0,3,3,0,0,2
"p1d4_3sha",1,0,0,0,3,3,0,0,2
"p1d4_4",1,0,0,0,1,1,0,0,1
"p1d4_4col",1,0,0,0,3,3,0,0,2
"p1d4_4sha",2,0,0,0,3,3,0,0,2
"p2d1_1",0,0,0,1,1,1,0,1,0
"p2d1_1col",0,0,0,3,1,3,0,3,0
"p2d1_1sha",0,0,0,3,3,2,0,1,0
"p2d1_2",0,0,0,1,1,1,0,1,0
"p2d1_2col",0,0,0,2,1,3,0,1,0
"p2d1_2sha",0,0,0,2,3,2,0,2,0
"p2d1_3",0,0,0,1,1,1,0,1,0
"p2d1_3col",0,0,0,2,1,1,0,3,0
"p2d1_3sha",0,0,0,2,3,3,0,1,0
